zip_rank,zipcode,niche_grade,school_grade,population
1,98004,A+ ,A+,35034
2,98052,A+ ,A+ ,67779
3,98005,A+ ,A+,18765
4,98109,A+ ,A- ,29154
5,98007,A+,A+,29174
6,98029,A+,A+,28727
7,98122,A+,A,38620
8,98102,A+ ,A ,25448
9,98103,A+,A,51377
10,98006,A+,A+,37769
11,98033,A+,A+,39075
12,98074,A+,A+,28395
13,98040,A+,A+,25492
14,98115,A+,A,53431
15,98112,A+,A,25426
16,98105,A+,A,48861
17,98107,A+,A- ,25720
18,98075,A+,A+,23587
19,98119,A+,A-,25710
20,98039,A+,A+,3260
21,98008,A+,A+,25539
22,98144,A+,A-,31845
23,98034,A+,A,43119
24,98116,A+,A-,26448
25,98053,A+,A+,22175
26,98199,A,A-,21954
27,98027,A,A+,30250
28,98028,A,A+,22516
29,98117,A,A-,35111
30,98177,A,A,21619
31,98011,A,A+,33109
32,98065,A,A-,15548
33,98125,A,A-,42475
34,98155,A,A,35028
35,98059,A,A+,38362
36,98072,A,A+,24213
37,98126,A,B+,24329
38,98133,A,A+,47247
39,98077,A,A+,14151
40,98136,A,A-,16607
41,98118,A-,A-,48436
42,98106,A-,B+,26171
43,98056,A-,B+,35373
44,98058,A-,A-,43523
45,98024,A-,A-,6658
46,98108,A-,B+,23980
47,98019,A-,A-,11811
48,98055,B+,B-,24231
49,98031,B+,B+,36750
50,98038,B+,B+,35568
51,98003,B+,B-,49860
52,98032,B+,B-,38016
53,98010,B+,B+,5485
54,98092,B+,B,45739
55,98146,B+,B,28022
56,98148,B,B,11761
57,98030,B,B,37808
58,98198,B,B-,38089
59,98001,B,B-,32625
60,98002,B,B,34508
61,98166,A-,B-,21212
62,98023,B+,B-,50283
63,98168,B,B-,32738
64,98188,B+,C+,24935
65,98070,A-,A,10036
66,98014,B,A-,6911
67,98022,B-,B,21218
68,98042,B+,B+,47927
69,98045,B+,B+,14795
70,98178,B+,B,27280
